,date,title,text,link
0,2022-11-10,Meta大規模裁員13％逾1.1萬人，祖克柏為錯估情勢公開信致歉：「我錯了，我要為此負責」,英國金融服務公司HargreavesLansdown分析師史屈特（SusannahStreeter）指出，「祖克柏的認錯（meaculpa）聲明不太可能讓投資者安心，反之，他們可能會因為他承認了高估公司前景而更加不安。」,https://www.thenewslens.com/article/176290
1,2022-11-06,推特藍色勾勾付費制優先在英、美、加等國上路，專家警告大規模裁員恐削弱事實查核力道,非營利團體「自由媒體」（FreePress）共同執行長龔薩雷茲（JessicaGonzalez）表示，「大家都知道」，期中大選選前「社群媒體會出現失控行為，提供錯誤訊息並恐嚇、傷害有色人種選民」，而她擔心，推特會在這個節骨眼鬆懈內容核實力道。,https://www.thenewslens.com/article/176060
2,2022-11-11,AI機器人Bella擔任長照諮詢員，暖性互動讓社福零距離,風靡全球的日本虛擬歌手初音未來，是動漫迷的最愛，而在台灣也有類似的虛擬AI機器人Bella，她的任務是提供有溫度、擬真的長照諮詢服務，與銀髮族及家屬互動，透過自然的應答，讓長照更普及、社福零距離。,https://www.thenewslens.com/article/176390
3,2022-11-03,美國聯邦傳播委員會（FCC）委員卡爾訪台，將與NCC和外交部等官員會談，聚焦5G、資安等議題,卡爾昨天應國家通訊傳播委員會（NCC）邀請抵達台灣訪問，展開一系列雙邊會議。FCC昨天發布新聞稿表示，卡爾是首位造訪台灣的FCC委員。造訪台灣期間，卡爾將拜會NCC、數位發展部與外交部。卡爾也透過推特分享他今天拜會外交部與NCC的照片。,https://www.thenewslens.com/article/175892
4,2022-11-02,你還記得自己心中的衝勁嗎？寫在2022未來大人物專題講座舉辦前,記得年輕無畏、勇敢前進的模樣嗎？其實我們心中都還藏著當年那個大膽無所畏懼的小孩，只是偶爾我們忘記了。你有說出「想成功」或「不怕失敗」的勇氣嗎？2022年我們重啟「未來大人物專題講座」試著邀請你一起定義成功與失敗。,https://www.thenewslens.com/article/175872
5,2022-11-11,從敘事到遊戲，打造XR內容價值鏈！2022TCCF未來內容展，國際專家傳授「內容轉型與變現」商業秘訣,VR、AR、MR等技術已經大量運用於敘事和遊戲創作之中，而在創作之外，募資、通路發行、行銷等商業運作是創作者面臨的一大難題。2022TCCF創意內容大會─未來內容展主題沙龍【國際焦點｜敘事v.s.遊戲：VR內容的商機與發展】邀請國際知名VR體驗內容設計公司ARVOREImmersive營運總監DoedeHoltkamp分享他的寶貴經驗。,https://www.thenewslens.com/feature/2022tccf-innovation-exhibition/176344
6,2022-11-01,馬斯克開鍘推特高層、成為唯一董事，好萊塢名人擔憂「自由言論」紛紛停用推特,馬斯克推特收購案爭議多個月，終於在10月27日完成這筆440億美元的鉅額交易。收購後，不僅推特4名高層主官遭解雇，推特董事會更被解散，馬斯克則成為推特唯一股東。許多好萊塢名人紛紛離開推特，並表達他們對於推特仇恨性言論審查規範鬆綁的擔憂。,https://www.thenewslens.com/article/175767
7,2022-10-31,《元宇宙》：這些商機不只讓人親身體驗《星際大戰》的世界，而是成為整個說故事體驗的核心,電影與電視並不會消失，就像是口述故事、各種連載作品、小說與廣播節目都在問世之後好幾個世紀持續存在；但是，可以想見未來的影視作品應該會有各種豐富的互動體驗，或者說是廣義的「遊戲」體驗。,https://www.thenewslens.com/article/175151
8,2022-11-10,開發超音波可視化動態影像，讓AI醫療醫學邁進一大步,你做過超音波檢查嗎？那些花花綠綠的影像是否讓人毫無頭緒？為了解決超音波影像判讀及醫病溝通的問題，雙和醫院攜手新創團隊，以AI模仿醫生判讀肺部超音波影像，讓外行人也能看懂，不僅促進病患理解，更縮短新進醫生的學習曲線。,https://www.thenewslens.com/article/176316
9,2022-10-29,駭客兜售2300萬筆台灣民政資料：預覽可見林姿妙、陳歐珀，工程師實測發現「符合現況」,目前放出的20萬筆資料，大多集中在宜蘭，裡面甚至包含縣長林姿妙、立委陳歐珀等政治人物及其家人的資料，工程師以親友名字實測發現資訊均符合現況，「連『喪偶』登記都有更新」。,https://www.thenewslens.com/article/175656
10,2022-10-25,特斯拉的星鏈「Starlink」，為何在烏克蘭對抗俄羅斯戰爭中那麼重要？,烏克蘭部隊正在使用星鏈進行通信，例如總部和戰場上的部隊之間用的就是星鏈——星鏈的信號不會像普通的無線電信號那樣被干擾，而且只需要15分鐘就能安裝好這套設備。,https://www.thenewslens.com/article/175217
11,2022-11-10,2022TCCF未來內容展多國專家深度對談，對接國際最新文化科技產業趨勢,文化內容策進院主辦「2022TCCF創意內容大會」，匯聚臺灣具潛力IP成品及提案，致力為全球內容業者媒合最佳國際合製資源。而9日登場的「主題沙龍-國際焦點」則邀請榮獲國際藝術獎項、影展肯定的內容製作公司及導演，分享幕後製程及商機開發經驗，期待藉由豐富的產業經驗分享，促進臺灣文化內容產業對接國際。,https://www.thenewslens.com/feature/2022tccf-innovation-exhibition/176300
12,2022-10-22,SpaceX低軌衛星Starlink落地有望，電信業界：土洋合作已有默契，盼克服法規問題,國內電信3雄都對低軌衛星合作抱持開放積極態度；中華電信董事長謝繼茂先前指出，低軌衛星需要落地，中華電在地面接收方面是首屈一指，目前已和好幾家國際業者接觸測試，但實質業務合作還沒有進行，國際公司要克服法規面的問題，服務落地的時間點才會明確。,https://www.thenewslens.com/article/175223
13,2022-10-21,【未來大人物】網路謠言漫天飛，Cofacts真的假的：勇敢查核並做個識讀者,我們手上的每一個點擊，都決定了我們下一秒看到的是知識或垃圾。你對數位假訊息感到失望嗎？「Cofacts真的假的」希望與每個在LINE聊天群組中感到絕望的數位原民站在一起，透過共編共好的回應資料，澄清真相，並讓大家知道面對闢謠網傳謠言的自己並不孤單。,https://www.thenewslens.com/article/175211
14,2022-11-10,pCloud終身雲端空間怎麼用？線上存放大檔案隨處存取,瑞士的老字號雲端服務pCloud推出業界少有的雲端空間終身方案，從500GB到10TB都有而且只需要一次性付款就能終身使用，用越久越划算。最近更推出雙11優惠方案，500GB、2TB、10TB終身方案都有優惠！,https://www.thenewslens.com/article/175771
15,2022-10-21,《華盛頓郵報》：馬斯克併購後計畫將裁減推特75%人力，推特早就準備大規模裁員計畫,里奇蒙大學（UniversityofRichmond）威廉姆斯法學院主席托比亞斯（CarlTobias）向《衛報》表示，裁員無疑將影響推特在降低平台上處理有害內容和應對安全問題的能力，而這將對推特的日常營運產生影響。,https://www.thenewslens.com/article/175168
16,2022-10-21,Meta「閩南話口語翻譯系統」計畫負責人來自台灣，「鄉土劇」對訓練AI有貢獻,人工智慧研究員陳鵬仁（Peng-JenChen）70歲已退休的父親陳聖獎來自台灣南部，主要說閩南語（Hokkien，台語或福建話）。他一直希望父親能用閩南語和所有人溝通，因為那是他父親用起來最舒服的語言。就是這個「為愛翻譯」的初心，他著手解決問題。,https://www.thenewslens.com/article/175144
17,2022-11-08,5G師資X技術社群！工業局全方位資源賦能，啟動5G應用未來,5G應用場景日趨多元，要支撐市場達到百花齊放的榮景，更凸顯了相關跨域人才的缺乏與渴求，於此同時，帶領人才前進的業界師資們，是否也已完成自我賦能、加值，並準備好以新視野、新觀點打開新世代的發展力，將是5G產業開展下一個重要挑戰！,https://www.thenewslens.com/feature/5g-jump/175976
18,2022-10-20,AI繪圖之亂：藝術已死，人類輸了，人工智慧將抹殺台灣藝文產業？,AI繪圖在為來幾年成為繪圖圈的「遊戲規則」將會是勢不可擋的趨勢。真人繪師是否會被淘汰，人類創作藝術的時代已經結束了嗎？目前主要有兩派說法......,https://www.thenewslens.com/article/174830
19,2022-10-20,Meta推出人工智慧翻譯工具，可即時互譯閩南話與英語,祖克柏以英語指出，有數以百萬的民眾說福建話，但因為它沒有標準的書寫系統，這使得打造翻譯系統變得很困難。這段話接著被譯成福建話唸出來。與他對話的人說，在他小的時候，學校沒有教福建話，它是透過口說代代相傳。祖克柏說，因為有了這個研發成果，「我們也都可以聽懂（福建話）了」。,https://www.thenewslens.com/article/175085
20,2022-11-08,科學辦案勝柯南！犯罪現場燒腦的事就交給AI,被害者被被棄屍荒野，偵查單位居然靠AI演算血跡形態，重建第一現場，讓兇嫌啞口無言，坦承罪行？！沒錯，這就是科學辦案的威力。AIGO計畫媒合高雄市警察局及新創團隊旺來AI工作室，讓刑事人員省下更多時間與人力，提高破案效率。,https://www.thenewslens.com/article/175796
21,2022-10-16,美國評估AI可望成為警察執法的有力夥伴，但演算法判斷失準的錯誤誰來承擔？,美國西北太平洋國家實驗室正評估，未來將人工智慧技術結合警察系統的可能性，認為AI不僅是一種工具，甚至能作為警察執法的合作夥伴；然而過於依賴AI的偵測功能也容易導致判斷失準甚至侵犯人們權利，對於未來更廣泛的應用則亟需完整且具前瞻性的政策以規範。,https://www.thenewslens.com/article/174835
